schema_version,method,seed,seeds,warmup_steps,burn_in_steps,steps_per_draw,dt,equilibrium_initialized,initialization_method,n_draws_per_chain,n_chains,trace_start,trace_stop,trace_interval,wallclock_s,gradient_evals,potential_evals,score_quadrature_evals,worst_basin_name,worst_basin_ess,worst_basin_ess_per_second,worst_basin_ess_per_gradient_eval,worst_basin_ess_per_potential_eval,worst_basin_ess_per_score_quadrature_eval,label_transition_count,no_label_transition_chain_count,all_chains_no_label_transition,kind,name,index,mean,target,signed_bias,absolute_bias,sample_sd,iat,iat_saved_draws,iat_sampler_time,iat_min_chain,iat_median_chain,iat_max_chain,ess,rhat,mcse,constant_chain_count,finite_iat_chain_count,ess_per_second,ess_per_gradient_eval,ess_per_potential_eval,ess_per_score_quadrature_eval,basin_id,basin_transition_count,no_basin_transition_chain_count,unvisited_chain_count,always_in_basin_chain_count,unvisited
1,ULA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,850.5452982792631,2560000.0,0.0,0.0,basin_0,0.0,0.0,0.0,,,209,14,False,basin,basin_0,0,0.4375,0.3102247587087531,0.1272752412912469,0.1272752412912469,0.49608612223082893,inf,inf,inf,inf,inf,inf,0.0,inf,,32,0,0.0,0.0,,,0.0,0.0,32.0,18.0,14.0,False
1,ULA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,850.5452982792631,2560000.0,0.0,0.0,basin_0,0.0,0.0,0.0,,,209,14,False,basin,basin_1,1,0.34971875,0.4209229629281407,-0.07120421292814066,0.07120421292814066,0.47688851197773596,128.75079467327706,128.75079467327706,25.750158934653946,48.50624838797421,68.74482327132829,inf,248.54215526361935,1.4446328227835954,0.0302494045819286,14,18,0.2922150716328038,9.708677939985131e-05,,,1.0,209.0,14.0,14.0,0.0,False
1,ULA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,850.5452982792631,2560000.0,0.0,0.0,basin_0,0.0,0.0,0.0,,,209,14,False,basin,basin_2,2,0.21278125,0.2688522783631063,-0.05607102836310632,0.05607102836310632,0.4092806181038245,128.75079467327706,128.75079467327706,25.750158934653946,48.50624838797421,68.7448232713283,inf,248.54215526361935,1.238144894136555,0.025960983948261674,14,18,0.2922150716328038,9.708677939985131e-05,,,2.0,209.0,14.0,14.0,0.0,False
1,ULA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,850.5452982792631,2560000.0,0.0,0.0,basin_0,0.0,0.0,0.0,,,209,14,False,energy,energy,0,-0.5770116510867092,-0.5837756842780077,0.006764033191298591,0.006764033191298591,0.09763445607910887,1.4399813424766492,1.4399813424766492,0.28799626849531346,1.109605476947042,1.4727609812790894,1.923644554097578,22222.510150695867,1.0006105778262682,0.0006549475992246513,0,32,26.127368166815096,0.008680668027615574,,,,,,,,
1,ULA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,850.5452982792631,2560000.0,0.0,0.0,basin_0,0.0,0.0,0.0,,,209,14,False,cv,cv_0,0,-0.16832322551696174,-0.07602179339145934,-0.0923014321255024,0.0923014321255024,0.45429107383168943,5.656575072473813,5.656575072473813,1.1313150144946982,2.0021606075615126,42.10011338672057,141.54430132090673,5657.133440289569,1.714996665526969,0.006039986836740391,0,32,6.651184189407086,0.002209817750113113,,,,,,,,
1,ULA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,850.5452982792631,2560000.0,0.0,0.0,basin_0,0.0,0.0,0.0,,,209,14,False,cv,cv_1,1,0.786556116256975,0.6554177006131997,0.13113841564377526,0.13113841564377526,0.5687880982702644,5.876729153002325,5.876729153002325,1.175345830600398,2.1881046076260953,50.21216900757639,158.08237872776425,5445.205856331107,1.7181046478211945,0.007708029158407143,0,32,6.402017467320429,0.0021270335376293386,,,,,,,,
1,MALA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,1631.8157050013542,2560000.0,2560000.0,0.0,basin_0,0.0,0.0,0.0,0.0,,194,11,False,basin,basin_0,0,0.34375,0.3102247587087531,0.0335252412912469,0.0335252412912469,0.47496630120551975,inf,inf,inf,inf,inf,inf,0.0,7401045371357105.0,,32,0,0.0,0.0,0.0,,0.0,0.0,32.0,21.0,11.0,False
1,MALA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,1631.8157050013542,2560000.0,2560000.0,0.0,basin_0,0.0,0.0,0.0,0.0,,194,11,False,basin,basin_1,1,0.40115625,0.4209229629281407,-0.019766712928140695,0.019766712928140695,0.4901402049468379,139.77903790506076,139.77903790506076,27.955807581010564,52.22625528097218,92.45518927255765,inf,228.93275329119595,1.456751182681153,0.032394133104539695,11,21,0.14029326509699572,8.942685675437341e-05,8.942685675437341e-05,,1.0,194.0,11.0,11.0,0.0,False
1,MALA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,1631.8157050013542,2560000.0,2560000.0,0.0,basin_0,0.0,0.0,0.0,0.0,,194,11,False,basin,basin_2,2,0.25509375,0.2688522783631063,-0.013758528363106315,0.013758528363106315,0.4359207118852382,139.77903790506076,139.77903790506076,27.955807581010564,52.22625528097218,92.45518927255765,inf,228.93275329119595,1.2943264525733922,0.028810681966739984,11,21,0.14029326509699572,8.942685675437341e-05,8.942685675437341e-05,,2.0,194.0,11.0,11.0,0.0,False
1,MALA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,1631.8157050013542,2560000.0,2560000.0,0.0,basin_0,0.0,0.0,0.0,0.0,,194,11,False,energy,energy,0,-0.5847960422656125,-0.5837756842780077,-0.001020357987604803,0.001020357987604803,0.09369355816563352,1.4549584783546867,1.4549584783546867,0.2909916956709208,1.2166998643762215,1.4233829659231219,1.8565089972418742,21993.754788237406,1.0004755814261113,0.0006317715181751905,0,32,13.478087458546156,0.008591310464155236,0.008591310464155236,,,,,,,
1,MALA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,1631.8157050013542,2560000.0,2560000.0,0.0,basin_0,0.0,0.0,0.0,0.0,,194,11,False,cv,cv_0,0,-0.09048819862272178,-0.07602179339145934,-0.014466405231262441,0.014466405231262441,0.4531262308652371,7.177236647366595,7.177236647366595,1.4354473294732373,2.2870986537162996,58.146451106664585,273.5271850277554,4458.540462329766,1.7130831493581993,0.006786140506988215,0,32,2.7322573552054803,0.001741617368097565,0.001741617368097565,,,,,,,
1,MALA,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,1631.8157050013542,2560000.0,2560000.0,0.0,basin_0,0.0,0.0,0.0,0.0,,194,11,False,cv,cv_1,1,0.6813792302265248,0.6554177006131997,0.025961529613325096,0.025961529613325096,0.5523927826345975,7.892185971418018,7.892185971418018,1.5784371942835138,2.39093060658443,64.00765840585902,300.1485942838103,4054.6434303359993,1.7161358532076179,0.008675043509328975,0,32,2.4847434780220077,0.0015838450899749996,0.0015838450899749996,,,,,,,
1,BAOAB,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,855.6171904793009,2560000.0,0.0,0.0,basin_0,0.0,0.0,0.0,,,43,13,False,basin,basin_0,0,0.34375,0.3102247587087531,0.0335252412912469,0.0335252412912469,0.47496630120551975,inf,inf,inf,inf,inf,inf,0.0,7401045371357105.0,,32,0,0.0,0.0,,,0.0,0.0,32.0,21.0,11.0,False
1,BAOAB,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,855.6171904793009,2560000.0,0.0,0.0,basin_0,0.0,0.0,0.0,,,43,13,False,basin,basin_1,1,0.48515625,0.4209229629281407,0.06423328707185932,0.06423328707185932,0.4997874237556824,33.77149753430776,33.77149753430776,6.754299506861169,1.9979919839679359,93.09299337748342,inf,947.5445963712999,2.4145839248101226,0.016236241186342617,13,19,1.1074398772195109,0.000370134607957539,,,1.0,43.0,13.0,12.0,1.0,False
1,BAOAB,,"[0, 1, 2, 3]",20,40000,40,0.005,False,numerical_grid_times_gaussian:reference_draw_then_charged_kernel_settling,1000,32,200.20000000000002,400.0,0.19999999999998863,855.6171904793009,2560000.0,0.0,0.0,basin_0,0.0,0.0,0.0,,,43,13,False,basin,basin_2,2,0.17109375,0.2688522783631063,-0.09775852836310633,0.09775852836310633,0.3765967481878306,33.77149753430776,33.77149753430776,6.754299506861169,1.9979919839679359,93.09299337748344,inf,947.5445963712999,1.817539862911797,0.012234232681611038,13,19,1.1074398772195109,0.000370134607957539,,,2.0,43.0,13.0,12.0,1.0,False
